,0
0,"[서울=뉴시스] 지난 13일 방송된 SBS TV 예능물 '미운 우리 새끼'에서 이상민이 신혼집을 공개했다. (사진=SBS TV '미운 우리 새끼' 캡처) 2025.07.14. photo@newsis.com  *재판매 및 DB 금지[서울=뉴시스] 신효령 기자 = 그룹 '룰라' 출신 이상민(52)이 신혼집을 최초로 공개했다.지난 13일 방송된 SBS TV 예능물 '미운 우리 새끼'에서 이상민은 남산뷰가 한 눈에 보이는 신혼집을 공개했다.이상민은 핑크색 꽃무늬 앞치마를 입고 핑크톤 소파에 다소곳하게 앉아있었다. 그가 반갑게 맞이한 사람은 배우 임원희와 개그맨 김준호였다.이상민은 청록색 침대에 대해 ""아내와 나, 아이를 위한 침대다""고 소개했다. 아들을 기원해 침대는 청록색, 딸을 기원해 소파는 분홍색으로 했다.이상민은 ""집에 하이라이트가 있다""며 비밀의 방을 공개했다. 바로 미리 준비한 아기방이었다.아기 침대를 비롯해 모빌, 장난감이 있었다. ""1차 시험관 시술은 실패했다""며 ""아내가 끝까지 한번 시도해보겠다고 했다. 즐거운 마음으로 하고 싶어서 침대도 소파도 아기방도 꾸몄다. 올해 안에는 무조건 성공해야 한다""고 했다.임원희는 이상민에게 돌하르방을 선물했다. 그는 ""아이도 잘 생기고 태어나면 건강하게 자란다. 이걸 자기 집에 들어와야 복이 온다""며 선물의 의미를 설명했다.임원희는 이상민에게 돌하르방의 코를 만져보라고 했다. ""이게 아기를 낳게 하는데 직방이다""고 강조했다. 이상민은 돌하르방의 코를 여러번 만졌고, 김준호 역시 슬며시 다가가 돌하르방의 코를 여러 번 만져 웃음을 안겼다.한편 이상민은 지난 4월 30일 서울 강남구청에서 아내와 혼인신고 후 정식 부부가 됐다. 이상민 부인은 비연예인으로, 이상민보다 10살이 어리다. 두 사람은 올해 사업 관련 미팅에서 만나 부부 연을 맺었다.이상민은 이날 인스타그램에 ""갑작스러운 소식에 많이 놀랐을 것 같다. 소식을 전하는 나도 지금 많이 떨린다. 내게 많이 사랑하는 한 사람이 생겼다. 그녀와 인생의 2막을 함께 나아가려고 한다""며 손편지로 재혼을 발표했다.1994년 룰라로 데뷔한 이상민은 2004년 가수 겸 배우 이혜영과 결혼했으나 1년2개월 만에 합의 이혼했다. 이후 사업 실패로 막대한 빚을 떠안은 이상민은 최근 69억7000만 원의 빚을 전부 청산했다.[서울=뉴시스] 지난 13일 방송된 SBS TV 예능물 '미운 우리 새끼'에서 이상민이 신혼집을 공개했다. (사진=SBS TV '미운 우리 새끼' 캡처) 2025.07.14. photo@newsis.com *재판매 및 DB 금지"
1,"[스타뉴스 | 정은채 기자]/사진=출처 이종석SNS/사진=출처 이종석SNS배우 이종석이 특유의 흰 피부와 소년 같은 매력을 뽐낸 근황 사진을 공개해 눈길을 끌었다.12일 이종석은 별다른 멘트 없이 웃는 이모지와 함께 자신의 SNS 계정에 여러 장의 사진을 게재했다.공개된 사진 속 그는 브라운 컬러의 티셔츠와 베이지색 바지를 매치하고 캐주얼한 운동화를 신어 편안하면서도 훈훈한 스타일을 선보였다. 무엇보다 이종석 특유의 우윳빛 피부가 돋보이며 한층 청순하고 맑은 이미지를 자아냈다.또한 깊고 또렷한 눈매와 자연스러운 미소는 보는 이들까지 미소 짓게 만들었다. 길거리 바닥에 털털하게 주저앉아 선풍기를 놓고 더위를 식히는 모습에서는 친근한 매력도 엿보였다.이종석, ♥아이유 떠오르는 흰 피부 비주얼→체크 셔츠 셀카..점점 닮아가네[스타IN★]다른 컷에서는 푸른 계열의 체크 셔츠를 입고 청량한 분위기를 연출했다. 특히 연인 아이유가 평소 즐겨 입는 스타일로 잘 알려진 체크 셔츠와 닮은 분위기를 자아내 팬들의 관심을 끌었다.이를 본 네티즌들은 ""피부 진짜 투명하다"", ""아이유랑 분위기가 닮았다"", ""소년미 대박"" 등 다양한 반응을 보이며 열띤 호응을 보냈다.한편 이종석은 2022년부터 가수 아이유와의 공개 열애를 이어오며 변함없는 사랑을 보여주고 있다. 두 사람은 투명한 피부와 청순한 분위기, 입꼬리 미소가 닮아 있다는 평을 받으며 많은 이들의 응원과 관심을 받고 있다."
2,"[OSEN=박하영 기자] 개그우먼 박소영, 김민경, 오나미, 홍윤화, 김승혜, 허민이 김준호, 김지민의 결혼을 축하했다.13일 박소영은 자신의 계정에 “준호♥지민 선배님 결혼식 총출동. 너무너무 행복한 시간이 자나자나. 너무 아름다운 부부 축복합니다”라는 글과 함께 여러 장의 사진을 게재했다.공개된 사진에는 ‘FC 개벤져스’로 활동했던 박소영, 김민경, 오나미, 홍윤화, 김승혜, 허민이 함께 모여 셀카를 찍었다. 또한 이들은 신부대기실에서 김지민과 함께 활짝 웃으며 유쾌한 사진을 남기기도 했다. 그곳에는 심진화, 임미숙, 김지선 등 함께 모여 축하했다.특히 영상 속 김준호와 김지민은 서로의 손을 꼭 잡으며 버진로드 위에 서있었다. 다정한 분위기 속 김지민은 순백의 여신 자태를 뽐내 눈길을 사로잡았다.한편, 김준호와 김지민은 이날 서울 강남구에 위치한 그랜드 인터컨피넨탈 파르나스 호텔에서 결혼식을 올렸다. 무엇보다 김준호는 예능을 통해 하객 예약만 1,200명을 했다고 밝혀 화제가 된 바 있다./mint1023/@osen.co.kr[사진] ‘박소영’"
3,"‘굿보이’ 박보검이 다 잡은 오정세를 놓쳤다.13일 JTBC ‘굿보이’에선 주영(오정세 분)을 놓치고 투병 여파로 시력 이상 증세를 보이는 동주(박보검 분)의 모습이 그려졌다.이날 주영과 마귀의 몸싸움 과정에서 수류탄이 터진 가운데 동주는 온몸을 던져 한나(김소현 분)를 감싼 바. 놀란 동주는 “진짜 괜찮아?”라며 한나의 상태를 살피다가도 “이렇게 위험한 데 혼자 오면 어떻게 해”라며 걱정을 전했다.이어 재홍(태원석 분)과 종현(이상이 분), 만식(허성태 분)이 합류하고, 동주는 주영을 찾아 나섰으나 그는 이미 모습을 감춘 뒤. 이에 만식은 “여기 꽂혀 있는 민주영 빨대가 어디 한 둘이겠어. 다들 숨겨주느라 바쁘겠지”라고 찼고, 동주는 “그러니까 우리가 찾아야죠”라며 의욕을 보였다.그러나 동주는 지명수배자로 경찰의 추격을 받고 있는 상황. 결국 특수팀은 동주를 쓰레기통에 숨겨 폐건물을 빠져나간데 이어 주영이 버리고 간 휴대폰을 손에 넣는데 성공했다.이때 판열(김응수 분)이 나타나 분노를 표했으나 만식은 그가 동주에게 턱을 얻어맞은 걸 알고도 “어쩌다 턱이 그렇게 되셨어요?”라고 능청스럽게 물었다. 이에 판열은 “알고도 모르겠지? 너희들 경찰 밥은 다 먹은 줄 알아”라고 으름장을 놓았다.판열의 눈을 피해 만식의 집에 도착한 뒤에야 한숨을 돌린 동주는 주영을 습격하는 과정에서 크고 작은 상처를 입은 한나에 직접 약을 발라줬다.동주는 또 “내가 얘기한 적 없나? 나 어렸을 때 많이 맞고 자랐거든. 아빠가 술만 마시면 그렇게 때리고 엄마 괴롭히고. 그러고 나면 내가 엄마한테 해줄 수 있는 게 이거 밖에 없었어. 상처 난 데 약 발라주고 호 불어주고. 그래서 익숙해”라며 아픈 가족사도 전했다.기특하다며 머리를 쓰다듬는 한나에 “그럼 상 줘”라며 입술을 내민 동주는 그와 딥키스를 나누는 것으로 한층 깊어진 관계를 공유했다.한편 이날 특수팀은 주영의 휴대폰을 복구해 그에게 정보를 제공한 ‘빨대’가 광수대 막내 종훈이란 사실을 알아냈으나 그는 이미 살해된 뒤.이에 동주는 “그런 놈들은 위험을 느끼면 본능적으로 가장 안전한 곳에 숨어. 그때 거기 있는 사람들 중 제일 힘 있는 놈”이라며 주영이 판열의 도움으로 경찰청장실에 숨어있음을 간파했다.그러나 특수팀의 기습에도 주영은 판열을 인질로 앞세워 경찰청을 빠져나갔다. 이 과정에서 동주와 종구(정만식 분)가 맞붙었고, 동주가 투병 여파로 시력을 잃었음을 알게 된 종구는 “맞네. 이거 진짜 안 보이네. 이래서 나랑 붙을 수 있겠냐?”라고 이죽거리는 것으로 파란을 예고했다.사진 = ‘굿보이’ 방송화면 캡처"
4,"[텐아시아=조나연 기자]사진 =  ENA '내 아이의 사생활''내 아이의 사생활'에서 장윤정 도경완 딸 하영이 꿈을 밝혔다.13일 방송된 ENA 일요예능 '내 아이의 사생활'(이하 '내생활')에서는 도도남매 연우, 하영이가 준비한 '손주 투어' 2탄이 그려졌다.이날 방송에서 연우, 하영은 결혼 50주년을 맞은 할머니, 할아버지의 신혼여행지 경주를 찾아 새로운 추억을 쌓았다.네 사람은 한복을 입고 점집을 찾았다. 먼저 관상가는 연우의 얼굴을 보고 ""한번 꽂히면 깊이 연구하는 학자 스타일이다. 법조인, 교수 등이 어울린다""며 ""아내의 내조를 받을 것 같다""고 말했다.사진 =  ENA '내 아이의 사생활'다음은 하영이가 관상을 봤다. 관상가는 ""하영이는 오빠보다 재물복이 많다. 돈에 관심이 많을 것 같다""고 말해 웃음을 자아냈다.이에 연우는 ""맞다. 하영이 꿈이 부자다""고 말했고, 이를 스튜디에서 지켜보던 장윤정도 ""맞다""고 공감했다. 하영이의 할아버지는 ""하영이는 끼가 많아 연예인을 시키고 싶다""고 포부를 드러냈다.한편, 장윤정은 2013년 도경완과 결혼해 슬하에 1남 1녀를 두고 있다. 장윤정 도경완 부부는 지난 6월 서울의 한 고급 아파트 펜트하우스 세대를 전액 현금으로 매입했다. 앞서 방송에서는 하영의 방이 최초 공개돼 많은 관심을 모았다."
5,"[텐아시아=김은정 기자]사진=유튜브 '요정재형''요정재형' 이적이 연예인 홛동에 대해 이야기했다.13일 유튜브 채널 '요정재형'은 '요정투어' 편으로 가수 이적, 2PM 장우영과 함께한 일본 도쿄 여행기를 공개했다.이날 정재형은 패션에 관심 없는 이적과 오모테산도에 도착했다. 자신이 좋아하는 브랜드 숍에 간 정재형은 여러 의상을 추천하며 ""무대복으로 입으라""고 조언했다.가격을 확인하던 이적은 ""비싸다""는 반응을 보였지만, 정재형은 ""너 이 매장도 살 수 있잖아. 얼마 안 한다""고 설득했다.사진=유튜브 '요정재형'사진=유튜브 '요정재형'사진=유튜브 '요정재형'사진=유튜브 '요정재형'결국 정재형이 추천한 화이트톤 의상을 구매한 이적은 ""비싼 옷 사서 현기증 난다""면서 ""페스티벌 가서 하얀 옷 입고 조명 받으면 모기랑 하루살이가 몰려오는 재앙 펼쳐질지도 모른다""고 털어놔 웃음을 안겼다.쇼핑에 관심 없는 이적은 향수 가게에 들른 정재형을 밖에서 기다렸다. 그 모습에 정재형은 ""엄정화 쇼핑 할 때 기다리는 내 표정 같다""고 표현했다.한편, 극과 극 취향을 드러낸 두 사람은 에비스에서 맥주 한잔하며 티키타카를 이어갔다.""배우 김다미가 연예인 같지 않다""며 칭찬하던 두 사람. 이적은 ""나도 가수를 30년 했지만, 연예인 같지 않다는 생각이 든다. 연예인은 내 일이 아닌 것 같다""고 말했다.사진=유튜브 '요정재형'사진=유튜브 '요정재형'사진=유튜브 '요정재형'사진=유튜브 '요정재형'정재형이 ""돈은 다 벌었잖아""라고 꼬집자, 이적은 ""한몫 챙겼으니 나가자는 마음""이라며 너스레를 떨었다.이적은 ""정재형은 우리쪽에서도 연예인 같은 사람이다. 패션이나 얼굴을 좀 봐라. 연예인상""이라며 ""일반 사회생활을 할 수 없는 사람, 한다면 나락까지 갈 사람인데, 연예계에 오면 빛나는 사람""이라고 이야기했다.이에 정재형은 ""네가 직장 다니면 빛났을 것 같냐. 쓰레기였을 거""라고 디스했고, 이적은 ""회장님한테 딱 붙어서 혀처럼 움직였을 것""이라고 인정해 폭소를 자아냈다. 그러면서 ""나는 조직도 싫어해서 진짜 이 일 아니면 뭘 했을까 싶다""고 말했다.이적은 ""정재형이 예능을 안 했으면, 뒷방에서 '한국 K-팝은 썩었다'고 저주했을 거""라며 ""형이 예능 하면서 변화가 시작된 건 마흔 넘어서다. 사람 인생은 모른다""고 이야기했다."
6,"[OSEN=김수형 기자]개그맨 김준호가 장모님과의 약속을 어기고 결혼 전 신혼집에 '몰래 입주'한 사실을 깜짝 고백해 웃음을 자아냈다.13일 방송된 SBS 예능 ‘미운 우리 새끼(이하 미우새)’에서는 김준호가 이상민, 임원희와 함께 신혼 준비에 대한 이야기를 나눴다.이날 이상민은 자신의 짐 정리 중 “아내가 내 물건 다 버릴 거라더라”고 말하며 웃음을 자아냈다. 그러자 김준호도 “지민이도 내 짐은 10원짜리 하나도 가져오지 말라고 했다”며 맞장구쳤다.이어 신혼집 입주 시기를 묻는 질문에 김준호는 “지민이 어머니와 약속했다. 결혼 후 신혼집에 들어가기로 했다”고 설명했다. 하지만 이상민은 “며칠 전에 신혼집에서 잔다고 하지 않았냐”며 폭로했고, 김준호는 당황한 듯 입을 가리며 “장모님 계실 땐 괜찮다. 안 계실 때만 살짝 간다”며 비밀 유지(?)를 요청해 웃음을 안겼다.임원희와 이상민이 “몇 번이나 갔냐, 셀 수 없을 정도냐”고 캐묻자, 김준호는 결국 “신혼집인데 내 집에 몰래 들어가는 스릴이 있다”며 솔직히 털어놨다.이에 김지민의 어머니는 “하여튼 모르겠다. 결혼하고 가라니까”라며 속마음을 전했고, 스튜디오엔 폭소가 터졌다.한편 김준호와 김지민은 이날(13일) 서울 강남의 한 호텔에서 결혼식을 올리며 정식으로 부부가 됐다. 3년간의 공개 연애 끝에 결실을 맺은 두 사람은 지인들의 뜨거운 축복 속에 새로운 출발을 알렸다./ssu08185@osen.co.kr"
7,"그룹 코요태 김종민, 신지, 빽가가 김준호, 김지민 결혼식에 하객으로 참석했다.13일 신지는 자신의 SNS에 “준호 오빠♥지민이 결혼 진심으로 축하해""라는 글과 함께 두 장의 사진을 게재했다.사진 속 신지는 깔끔한 블랙 의상을 입고 카메라를 보며 환한 미소를 짓고 있다. 김종민, 빽가와 동행, 오랜 동료의 경사를 축하했다. 무엇보다 신지는 가수 문원과 내년 결혼을 앞둔 예비신부라 이날 하객 참여에 관심이 모였다.한편 김준호, 김지민은 이날 오후 서울 강남 그랜드인터컨티넨탈 서울 파르나스에서 웨딩마치를 울렸다. 현장은 1200여 명의 하객이 참여해 인산인해를 이뤘다.박세연 기자 psyon@edaily.co.kr"
8,"[OSEN=장우영 기자] 그룹 쥬얼리 출신 이지현이 미용 시험 합격 후 달라진 일상에 적응 중이다.13일 이지현은 자신의 소셜 미디어 계정에 “몸도 마음도 아닌 뇌의 휴식이 필요해”라는 글과 함께 여러 장의 사진을 게재했다.공개된 사진 속 이지현은 카페 야외 테이블에 앉아 잠시 쉬는 시간을 갖고 있다. 김영하 작가의 신작을 읽은 듯한 이지현은 “좋은 책은 너무 빨리 읽어버릴까 걱정”이라며 아쉬움 가득한 마음을 전했다.최근 미용 시험에 합격해 다채로운 일상을 보여주고 있던 이지현은 “뇌의 휴식이 필요해”라며 달라진 일상에 적응 중임을 고백했다. 인기 걸그룹에서 두 아이의 엄마, 이제는 미용사로의 변신까지 다양하게 바쁘게 살아온 이지현인 만큼 심경 고백이 더욱 의미심장하다.한편 이지현은 2016년과 2020년에 걸쳐 두 차례 이혼의 아픔을 겪었다. 슬하에 1남 1녀를 양육 중이다. /elnino8919@osen.co.kr"
9,"박항서 감독이 20년째 공황장애를 앓고 있다고 밝혔다.13일 방송된 JTBC '뭉쳐야 찬다4'에서는 박항서 감독과 김남일 감독의 맞대결이 펼쳐졌다.이날 박항서 감독은 FC 파파클로스의 1무 4패 전적에 대해 ""연패를 당하면 침체가 되고 생각이 복잡해지다 보니 선수들이 악수를 둔다""고 말했다.박항서 감독은 ""저도 공황장애를 20년째 앓고 있다. 저도 압박을 많이 받았다는 증거""라고 하며 선수들의 멘털 회복을 위해 스포츠 심리 상담가 김미선 박사를 초대해 상담을 진행했다.한편 JTBC '뭉쳐야 찬다4'는 매주 일요일 오후 7시 10분 방송된다."
