지점명,date,nickname,review_content,wait_time
강남점,2025년 7월 22일 화요일,임구임구,닭을 샤브샤브처럼 먹는것도 새롭고 메뉴가 다 맛있어서 이것저것 엄청 먹어봤어요!소곱창순두부전걸도 맛있었는데 흡입하니라 사진이 없는정도 ㅋㅋㅋ강남 술 모임 하실때 아주 괜찮습니다👍🏻👍🏻더보기,바로 입장
강남점,2025년 6월 26일 목요일,8비버찡8,"보양식 + 보양술.. 나는 건강해지러 여기온다..^ㅠ^✅ 메뉴 : 2인 진흙오리전병세트(원조닭전골 + 진흙오리전병), 오미자하이볼 병, 동학✅ 웨이팅 : 목욜 저녁 6:40 웨이팅 없음-> 7:30 지나면 홀 꽉참, 그 뒤는 웨이팅 좀 있음테마가 특별한 전통주 집을 찾다가 발견!!메뉴부터.. 보양..ㅋㅋ 양도 많고 생각보다 맛남(2인인데 양이 많아서 여자 셋이 먹어도 됨)그리고 눈이 즐거워욥닭전골에 가시오가피, 대추, 작은인삼ㅋㅋ오미자하이볼 병 안에는 인삼과 대추가 있어 보기만해두 건강해지는 느낌 ㅎㅎ.. 근데 달달한데 은근 취햐…독특한 컨셉이라 커플 많음ㅋㅋ근데 은근 6인 단체도 좀 있음ㅋㅋ나중에 강남역 약속있을때 또 갈 의향 있음더보기",바로 입장
강남점,2025년 7월 27일 일요일,여니4894,"여기 일요일에가도 사람이 정말 많네요..! 진짜 강남역맛집인듯합니다..!! 운좋게 웨이팅은 안했고요!! 원기세트랑 묵은지볶음밥먹었는데 너무 맛있었어요! 원기세트에 나오는 닭전골..고기양도 많고 부드럽고요, 국물이 정말 맛있었습니다. 끓일 수록 맛있어지니 푹 끓여 드셔보세요! 추가로 탄수화물 채우려고 묵은지볶음밥시켰는데 잘 시킨 것같아여.. 자꾸손이가거든욬ㅋㅋ더보기",바로 입장
강남점,2025년 7월 9일 수요일,jay****,주종도 다양하고 주종에 맞는 안주도 다양해서 넘 좋아요!!메뉴하나하나 맛있고 가성비 좋습니당처음보는 먹어보는 것도 있어 신기하기도 했어요내부도 시원하고 인테리어도 고급져서 술이 술술 들어갑니당👍🏻더보기,바로 입장
강남점,2025년 6월 30일 월요일,dusdn20,"강남에서 보양 제대로 하고 싶을 때 찐추천! 맑고 깊은 맛의 ‘원조닭전골’ 국물 진짜 끝내줘요🥹 꽈리고추연골볶음은 은근 중독적이고, 복분자하이볼은 그냥 무조건이에요. 몸도 기분도 다 힐링된 날✨더보기",바로 입장
강남점,2025년 7월 8일 화요일,땡몬,처음 가본 곳인데 비주얼부터 완전히 시선을 사로잡았습니다.고기를 통째로 걸어서 소스를 뿌려주는 메뉴는 보기에도 재미있고 맛도 부드럽고 촉촉했어요.샐러드랑 같이 먹으니 느끼함도 덜했습니다.육수가 끓고 위에 고기를 얹어가며 천천히 익혀먹는 메뉴도 인상적이었어요.뼈째로 담긴 고기의 풍미가 진하게 우러나와 국물이 정말 깊었습니다.독특한 비주얼과 색다른 조합을 좋아하신다면 한 번쯤 경험해보실 만한 곳이에요.더보기,바로 입장
강남점,2025년 7월 28일 월요일,Hannahislove,오리 진짜 맛나요 ㅠㅠ 가성비 미쵸따 !분위기도 좋고 친절하셔서 또 오고 싶은 집이에요‘오리 강추!!! 육즙 미쵸따 ㅠㅠ 왕 추천이에요!!,바로 입장
강남점,2025년 7월 26일 토요일,yzzz9914,분위기 좋고 힙하고 쾌적해요 안주도 딱 좋아요!! 닭안심은 샤브샤브로 먹으면 되고 먹기도 편해요! 막걸리 종류가 더 많으면 좋겠어요,10분 이내 
강남점,2025년 5월 29일 목요일,liliS2,"3명이서 와서 보양세트 주문했는데, 세트 구성이 너무 좋아요!👍🏻 닭전골, 통돼지후라이드, 닭고기 육전, 흑임자오이무침 다 맛있어요~ 묵은지볶음밥도 추가로 시켰는데 그것도 맛있어요~ 가게 분위기도 좋고, 직원분들도 친절하고 너무 좋아요!☺️✨더보기",바로 입장
강남점,2025년 7월 29일 화요일,요해니,팀 회식으로 왔는데 이 무더운 여름날 시원한 계곡 놀러온 듯한 느낌에 엄청 가성비 넘치는 메뉴들로 아주 만족스런 회식이었어요! 진짜 하나도 빠짐없이 다 존맛탱,바로 입장
강남점,2025년 7월 29일 화요일,dmswl0011,"통돼지 후라이드도 꼭 드셔보세요!크게 튀겨낸 통돼지가 겉은 바삭, 속은 촉촉~ 기름지지 않고 담백해서 계속 손이가는맛 !!양도 푸짐해서 나눠 먹기 좋았고, 특히 전골이랑 곁들이니 조합이 딱이었어용소주안주로 딱입니당 🤍더보기",10분 이내 
강남점,2025년 6월 14일 토요일,TullYs,다양하게 먹고 싶어서 2인세트 시켰는데 맛있고 구성도 좋아요!근데 육회보다는 오이무침하세요..육회가 진짜 제일 맛있었는데 육회+닭전골+닭전 조합은 물리더라구요ㅜ 아니면 다른 세트 or 단품 추천합니다!더보기,바로 입장
강남점,2025년 6월 4일 수요일,지니횅,이런 힙한 한식주점이 있었다니! 원기보양이 되는 원조닭전골은 닭다리살이랑 안심만 있어서 부드러운 살만 먹을 수 있어서 좋았고 국물이 진하고 맛있어서 정말 속이 뜨끈해졌고 닭고기육전은 닭다리살이 가득들어서 식감도 알차고 맛있었어요! 느린마을 막걸리랑도 잘 어울련ㅅ는데 술이 진짜 잘 들어가더라고요 오이무침은 안심이랑 잘 어울리고 후식으로 먹은 고구마약과아이스는 감튀와 밀쉐의 조합 같은 따뜻하고 차가운 조합으로 맛도리였어요 분위기도 좋고 매장도 넓어서 강남역 모임하기도 좋겠어요! 다음에 또 다른 메뉴 먹어보러 가겠습니다~!더보기,바로 입장
강남점,2025년 7월 19일 토요일,ssu****,강남에서 이런 요리는 처음 먹어보는데왜 사람이 많은지 알 것 같아요.눈도 즐겁고 입도 즐거운 만족스러운 저녁이었네요.데코도 너무 이쁜데 사람이 많다는점?재방문의사 100퍼!더보기,30분 이상
강남점,2025년 7월 17일 목요일,hae****,닭전골 너무 맛있어요 국물도 맛있고 고기도 넘 부드러워요! 단체모임으로 와도 좋을 것 같아요!! 닭똥집도 많이 안짜고 맛나요 또 올거같아요!!,바로 입장
강남점,2025년 7월 16일 수요일,ohj****,두번째 방문이에요!! 진짜 여기는 아귀간육회가 미쳤어요ㅠㅠㅠ 전골도 매운거 시켰는데 비오는날 최고네요!!♡♡,바로 입장
강남점,2025년 7월 29일 화요일,하이드로진,"인터넷에서 바이럴돼서 인지하고는 있었는데, 우연히 특별한 곳 찾다가 들어왔는데 진짜 맛있네요. 비주얼도 좋고 맛도 좋습니다:)",바로 입장
강남점,2025년 5월 22일 목요일,ChloeHot,다양한 음식이 건강하게 퓨전식으로 나오는데 술도 가성비 좋은데 맛있고 양도 넉넉하고 안주들도 맛있어서 푸짐하게 먹고 대화하고 분위기 즐기기 좋았어요모임하기도 좋고 워낙 사람이 많아서 웨이팅 할 수 있는데 그만큼 분위기나 안주가 좋아서 기다렸다 들어가도 좋은 곳이에요좋은시간 친구들과 한잔하면서 다양한 메뉴와 즐길거리가 많아서 다음에 또 올께요더보기,바로 입장
